uid	similarity	catnum	ti_uid	gene	indication_mesh_id	indication_mesh_term	hcat	acat	ccat	hcatnum	acatnum	ccatnum	succ_p_1	succ_1_2	succ_2_3	succ_3_a	orphan	year_launch	arow	assoc_mesh_id	assoc_mesh_term	assoc_source	assoc_info	original_trait	original_link	assoc_year	pic_qtl_pval	pic_h4	af_gnomad_nfe	l2g_share	l2g_rank	cat	assoc_share	assoc_rank	highest_phase_with_known_outcome	genetic_insight	target_status
F2-D000086382	0	1	F2-D000086382	F2	D000086382	COVID-19	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	165885	D001778	Blood Coagulation Disorders	OTG	NA	Other coagulation defects	https://genetics.opentargets.org/study/FINNGEN_R6_D3_COAGOTHER	2022	NA	NA	0.014065335753176	0.1	3	Preclinical	0.1	3	NA	gwas	unsupported target
F2-D000787	0.527	1	F2-D000787	F2	D000787	Angina Pectoris	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	165911	D015519	Bone Density	OTG	NA	Heel bone mineral density	https://genetics.opentargets.org/study/GCST006979	2018	NA	NA	0.0235904082955282	0.11	1	Preclinical	0.11	1	0	gwas	unsupported target
F2-D000789	0.501	5	F2-D000789	F2	D000789	Angina, Unstable	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2021	165911	D015519	Bone Density	OTG	NA	Heel bone mineral density	https://genetics.opentargets.org/study/GCST006979	2018	NA	NA	0.0235904082955282	0.11	1	Launched	0.11	1	3	gwas	unsupported target
F2-D001026	0.255	4	F2-D001026	F2	D001026	Coronary Artery Bypass	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	FALSE	NA	165888	D001837	Body Weights and Measures	OTG	NA	Sitting height	https://genetics.opentargets.org/study/NEALE2_20015_raw	2018	NA	NA	0.306831801837795	0.29	1	Phase III	0.29	1	3	gwas	unsupported target
F2-D001249	0.632	1	F2-D001249	F2	D001249	Asthma	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	165902	D011655	Pulmonary Embolism	OTG	NA	Pulmonary embolism with or without deep venous thrombosis	https://genetics.opentargets.org/study/GCST90038614	2021	NA	NA	0.0124497471145117	0.36	1	Preclinical	0.36	1	0	both	unsupported target
F2-D001281	0.478	2	F2-D001281	F2	D001281	Atrial Fibrillation	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	165889	D002318	Cardiovascular Diseases	OTG	NA	Other disorders of circulatory system	https://genetics.opentargets.org/study/SAIGE_459	2018	NA	NA	0.0124497471145117	0.52	1	Phase I	0.52	1	1	both	unsupported target
F2-D001778	1	1	F2-D001778	F2	D001778	Blood Coagulation Disorders	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	165885	D001778	Blood Coagulation Disorders	OTG	NA	Other coagulation defects	https://genetics.opentargets.org/study/FINNGEN_R6_D3_COAGOTHER	2022	NA	NA	0.014065335753176	0.1	3	Preclinical	0.1	3	NA	both	genetically supported target
F2-D001943	0.256	2	F2-D001943	F2	D001943	Breast Neoplasms	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	165889	D002318	Cardiovascular Diseases	OTG	NA	Other disorders of circulatory system	https://genetics.opentargets.org/study/SAIGE_459	2018	NA	NA	0.0124497471145117	0.52	1	Phase I	0.52	1	1	both	unsupported target
F2-D002318	1	1	F2-D002318	F2	D002318	Cardiovascular Diseases	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	165889	D002318	Cardiovascular Diseases	OTG	NA	Other disorders of circulatory system	https://genetics.opentargets.org/study/SAIGE_459	2018	NA	NA	0.0124497471145117	0.52	1	Preclinical	0.52	1	0	gwas	genetically supported target
F2-D002545	0.508	5	F2-D002545	F2	D002545	Brain Ischemia	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2011	165893	D006973	Hypertension	OTG	NA	Pulse pressure	https://genetics.opentargets.org/study/GCST007269	2018	NA	NA	0.1409238776838	0.24	2	Launched	0.24	2	3	omim/tcga	unsupported target
F2-D002836	0.476	5	F2-D002836	F2	D002836	Hemophilia B	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	165919	D025861	Blood Coagulation Disorders, Inherited	OMIM	NA	Hypoprothrombinemia, 613679 (3), Autosomal recessive	https://omim.org/entry/176930	NA	NA	NA	NA	NA	NA	Launched	NA	NA	3	both	unsupported target
F2-D003093	0.239	1	F2-D003093	F2	D003093	Colitis, Ulcerative	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	165889	D002318	Cardiovascular Diseases	OTG	NA	Other disorders of circulatory system	https://genetics.opentargets.org/study/SAIGE_459	2018	NA	NA	0.0124497471145117	0.52	1	Preclinical	0.52	1	0	both	unsupported target
F2-D003424	0.246	1	F2-D003424	F2	D003424	Crohn Disease	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	165889	D002318	Cardiovascular Diseases	OTG	NA	Other disorders of circulatory system	https://genetics.opentargets.org/study/SAIGE_459	2018	NA	NA	0.0124497471145117	0.52	1	Preclinical	0.52	1	0	both	unsupported target
F2-D003930	0.526	1	F2-D003930	F2	D003930	Diabetic Retinopathy	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	165893	D006973	Hypertension	OTG	NA	Pulse pressure	https://genetics.opentargets.org/study/GCST007269	2018	NA	NA	0.1409238776838	0.24	2	Preclinical	0.24	2	NA	gwas	unsupported target
F2-D004211	0.494	5	F2-D004211	F2	D004211	Disseminated Intravascular Coagulation	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2015	165885	D001778	Blood Coagulation Disorders	OTG	NA	Other coagulation defects	https://genetics.opentargets.org/study/FINNGEN_R6_D3_COAGOTHER	2022	NA	NA	0.014065335753176	0.1	3	Launched	0.1	3	3	omim/tcga	unsupported target
F2-D006467	0.512	5	F2-D006467	F2	D006467	Hemophilia A	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	165919	D025861	Blood Coagulation Disorders, Inherited	OMIM	NA	Hypoprothrombinemia, 613679 (3), Autosomal recessive	https://omim.org/entry/176930	NA	NA	NA	NA	NA	NA	Launched	NA	NA	3	both	unsupported target
F2-D007249	0.397	1	F2-D007249	F2	D007249	Inflammation	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	165894	D008218	Lymphocytosis	OTG	NA	Lymphocyte counts	https://genetics.opentargets.org/study/GCST90002316	2020	NA	NA	0.0682790818311503	0.33	1	Preclinical	0.33	1	0	gwas	unsupported target
F2-D007889	0.238	2	F2-D007889	F2	D007889	Leiomyoma	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	165889	D002318	Cardiovascular Diseases	OTG	NA	Other disorders of circulatory system	https://genetics.opentargets.org/study/SAIGE_459	2018	NA	NA	0.0124497471145117	0.52	1	Phase I	0.52	1	1	gwas	unsupported target
F2-D008113	0.251	2	F2-D008113	F2	D008113	Liver Neoplasms	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	165889	D002318	Cardiovascular Diseases	OTG	NA	Other disorders of circulatory system	https://genetics.opentargets.org/study/SAIGE_459	2018	NA	NA	0.0124497471145117	0.52	1	Phase I	0.52	1	1	gwas	unsupported target
F2-D008268	0.509	1	F2-D008268	F2	D008268	Macular Degeneration	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	165898	D009798	Ocular Hypertension	OTG	NA	Intraocular pressure	https://genetics.opentargets.org/study/GCST005580	2018	NA	NA	0.149727414330218	0.2	2	Preclinical	0.2	2	NA	both	unsupported target
F2-D008269	0.467	2	F2-D008269	F2	D008269	Macular Edema	NA	Phase I	Phase I	NA	3	2	TRUE	NA	NA	NA	FALSE	NA	165898	D009798	Ocular Hypertension	OTG	NA	Intraocular pressure	https://genetics.opentargets.org/study/GCST005580	2018	NA	NA	0.149727414330218	0.2	2	Phase I	0.2	2	0	both	unsupported target
F2-D009203	0.531	5	F2-D009203	F2	D009203	Myocardial Infarction	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2021	165893	D006973	Hypertension	OTG	NA	Pulse pressure	https://genetics.opentargets.org/study/GCST007269	2018	NA	NA	0.1409238776838	0.24	2	Launched	0.24	2	3	gwas	unsupported target
F2-D009369	0.349	1	F2-D009369	F2	D009369	Neoplasms	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	165889	D002318	Cardiovascular Diseases	OTG	NA	Other disorders of circulatory system	https://genetics.opentargets.org/study/SAIGE_459	2018	NA	NA	0.0124497471145117	0.52	1	Preclinical	0.52	1	0	gwas	unsupported target
F2-D011041	0.267	1	F2-D011041	F2	D011041	Poisoning	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	165889	D002318	Cardiovascular Diseases	OTG	NA	Other disorders of circulatory system	https://genetics.opentargets.org/study/SAIGE_459	2018	NA	NA	0.0124497471145117	0.52	1	Preclinical	0.52	1	0	gwas	unsupported target
F2-D011225	0.761	4	F2-D011225	F2	D011225	Pre-Eclampsia	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	165893	D006973	Hypertension	OTG	NA	Pulse pressure	https://genetics.opentargets.org/study/GCST007269	2018	NA	NA	0.1409238776838	0.24	2	Phase III	0.24	2	2	both	unsupported target
F2-D011655	1	5	F2-D011655	F2	D011655	Pulmonary Embolism	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2021	165902	D011655	Pulmonary Embolism	OTG	NA	Pulmonary embolism with or without deep venous thrombosis	https://genetics.opentargets.org/study/GCST90038614	2021	NA	NA	0.0124497471145117	0.36	1	Launched	0.36	1	3	gwas	genetically supported target
F2-D013921	0.517	5	F2-D013921	F2	D013921	Thrombocytopenia	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2015	165885	D001778	Blood Coagulation Disorders	OTG	NA	Other coagulation defects	https://genetics.opentargets.org/study/FINNGEN_R6_D3_COAGOTHER	2022	NA	NA	0.014065335753176	0.1	3	Launched	0.1	3	3	both	unsupported target
F2-D013927	0.851	5	F2-D013927	F2	D013927	Thrombosis	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	165915	D020246	Venous Thrombosis	OTG	NA	DVT of lower extremities and pulmonary embolism	https://genetics.opentargets.org/study/FINNGEN_R6_I9_DVTANDPULM	2022	NA	NA	0.0124497471145117	0.49	1	Launched	0.49	1	3	both	genetically supported target
F2-D017719	0.475	1	F2-D017719	F2	D017719	Diabetic Foot	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	165893	D006973	Hypertension	OTG	NA	Pulse pressure	https://genetics.opentargets.org/study/GCST007269	2018	NA	NA	0.1409238776838	0.24	2	Preclinical	0.24	2	0	gwas	unsupported target
F2-D018805	0.385	3	F2-D018805	F2	D018805	Sepsis	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	165894	D008218	Lymphocytosis	OTG	NA	Lymphocyte counts	https://genetics.opentargets.org/study/GCST90002316	2020	NA	NA	0.0682790818311503	0.33	1	Phase II	0.33	1	2	gwas	unsupported target
F2-D020152	0.459	5	F2-D020152	F2	D020152	Antithrombin III Deficiency	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2015	165919	D025861	Blood Coagulation Disorders, Inherited	OMIM	NA	Hypoprothrombinemia, 613679 (3), Autosomal recessive	https://omim.org/entry/176930	NA	NA	NA	NA	NA	NA	Launched	NA	NA	3	omim/tcga	unsupported target
F2-D020246	1	5	F2-D020246	F2	D020246	Venous Thrombosis	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	165915	D020246	Venous Thrombosis	OTG	NA	DVT of lower extremities and pulmonary embolism	https://genetics.opentargets.org/study/FINNGEN_R6_I9_DVTANDPULM	2022	NA	NA	0.0124497471145117	0.49	1	Launched	0.49	1	3	both	genetically supported target
F2-D020521	0.532	5	F2-D020521	F2	D020521	Stroke	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2011	165893	D006973	Hypertension	OTG	NA	Pulse pressure	https://genetics.opentargets.org/study/GCST007269	2018	NA	NA	0.1409238776838	0.24	2	Launched	0.24	2	3	gwas	unsupported target
F2-D020767	0.851	1	F2-D020767	F2	D020767	Intracranial Thrombosis	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	165924	D054556	Venous Thromboembolism	OTG	NA	Venous thromboembolism	https://genetics.opentargets.org/study/FINNGEN_R6_I9_VTE	2022	NA	NA	0.0124497471145117	0.64	1	Preclinical	0.64	1	0	gwas	genetically supported target
F2-D029424	0.624	1	F2-D029424	F2	D029424	Pulmonary Disease, Chronic Obstructive	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	165902	D011655	Pulmonary Embolism	OTG	NA	Pulmonary embolism with or without deep venous thrombosis	https://genetics.opentargets.org/study/GCST90038614	2021	NA	NA	0.0124497471145117	0.36	1	Preclinical	0.36	1	0	both	unsupported target
F2-D050197	0.516	1	F2-D050197	F2	D050197	Atherosclerosis	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	165893	D006973	Hypertension	OTG	NA	Pulse pressure	https://genetics.opentargets.org/study/GCST007269	2018	NA	NA	0.1409238776838	0.24	2	Preclinical	0.24	2	0	both	unsupported target
F2-D051437	0.249	3	F2-D051437	F2	D051437	Renal Insufficiency	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	165889	D002318	Cardiovascular Diseases	OTG	NA	Other disorders of circulatory system	https://genetics.opentargets.org/study/SAIGE_459	2018	NA	NA	0.0124497471145117	0.52	1	Phase II	0.52	1	2	both	unsupported target
F2-D054058	0.485	4	F2-D054058	F2	D054058	Acute Coronary Syndrome	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	FALSE	NA	165893	D006973	Hypertension	OTG	NA	Pulse pressure	https://genetics.opentargets.org/study/GCST007269	2018	NA	NA	0.1409238776838	0.24	2	Phase III	0.24	2	3	gwas	unsupported target
F2-D054179	0.462	1	F2-D054179	F2	D054179	Angioedemas, Hereditary	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	165893	D006973	Hypertension	OTG	NA	Pulse pressure	https://genetics.opentargets.org/study/GCST007269	2018	NA	NA	0.1409238776838	0.24	2	Preclinical	0.24	2	0	both	unsupported target
F2R-D000787	0.415	3	F2R-D000787	F2R	D000787	Angina Pectoris	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	166044	D056128	Obesity, Abdominal	OTG	NA	Waist-hip ratio	https://genetics.opentargets.org/study/GCST007067	2018	NA	NA	0.0359413520176463	0.55	1	Phase II	0.55	1	2	gwas	unsupported target
F2R-D001943	0.232	1	F2R-D001943	F2R	D001943	Breast Neoplasms	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	165994	D003920	Diabetes Mellitus	OTG	NA	Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021	NA	NA	0.0356448476992871	0.35	2	Preclinical	0.35	2	0	both	unsupported target
F2R-D002318	0.3	1	F2R-D002318	F2R	D002318	Cardiovascular Diseases	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	165994	D003920	Diabetes Mellitus	OTG	NA	Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021	NA	NA	0.0356448476992871	0.35	2	Preclinical	0.35	2	0	gwas	unsupported target
F2R-D002545	0.227	3	F2R-D002545	F2R	D002545	Brain Ischemia	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	165994	D003920	Diabetes Mellitus	OTG	NA	Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021	NA	NA	0.0356448476992871	0.35	2	Phase II	0.35	2	2	omim/tcga	unsupported target
F2R-D003922	0.748	1	F2R-D003922	F2R	D003922	Diabetes Mellitus, Type 1	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	165994	D003920	Diabetes Mellitus	OTG	NA	Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021	NA	NA	0.0356448476992871	0.35	2	Preclinical	0.35	2	NA	both	unsupported target
F2R-D006333	0.233	1	F2R-D006333	F2R	D006333	Heart Failure	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	165994	D003920	Diabetes Mellitus	OTG	NA	Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021	NA	NA	0.0356448476992871	0.35	2	Preclinical	0.35	2	0	both	unsupported target
F2R-D007249	0.342	1	F2R-D007249	F2R	D007249	Inflammation	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	166044	D056128	Obesity, Abdominal	OTG	NA	Waist-hip ratio	https://genetics.opentargets.org/study/GCST007067	2018	NA	NA	0.0359413520176463	0.55	1	Preclinical	0.55	1	0	gwas	unsupported target
F2R-D009203	0.334	3	F2R-D009203	F2R	D009203	Myocardial Infarction	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	166044	D056128	Obesity, Abdominal	OTG	NA	Waist-hip ratio	https://genetics.opentargets.org/study/GCST007067	2018	NA	NA	0.0359413520176463	0.55	1	Phase II	0.55	1	2	gwas	unsupported target
F2R-D009369	0.294	1	F2R-D009369	F2R	D009369	Neoplasms	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	165994	D003920	Diabetes Mellitus	OTG	NA	Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021	NA	NA	0.0356448476992871	0.35	2	Preclinical	0.35	2	0	gwas	unsupported target
F2R-D013927	0.236	5	F2R-D013927	F2R	D013927	Thrombosis	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2014	165994	D003920	Diabetes Mellitus	OTG	NA	Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021	NA	NA	0.0356448476992871	0.35	2	Launched	0.35	2	3	both	unsupported target
F2R-D016491	0.231	5	F2R-D016491	F2R	D016491	Peripheral Vascular Diseases	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2017	165994	D003920	Diabetes Mellitus	OTG	NA	Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021	NA	NA	0.0356448476992871	0.35	2	Launched	0.35	2	3	both	unsupported target
F2R-D020246	0.225	2	F2R-D020246	F2R	D020246	Venous Thrombosis	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	165994	D003920	Diabetes Mellitus	OTG	NA	Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021	NA	NA	0.0356448476992871	0.35	2	Phase I	0.35	2	1	both	unsupported target
F2R-D020521	0.239	3	F2R-D020521	F2R	D020521	Stroke	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	165994	D003920	Diabetes Mellitus	OTG	NA	Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021	NA	NA	0.0356448476992871	0.35	2	Phase II	0.35	2	2	gwas	unsupported target
F2R-D029424	0.234	3	F2R-D029424	F2R	D029424	Pulmonary Disease, Chronic Obstructive	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	165994	D003920	Diabetes Mellitus	OTG	NA	Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021	NA	NA	0.0356448476992871	0.35	2	Phase II	0.35	2	2	both	unsupported target
F2R-D050197	0.23	1	F2R-D050197	F2R	D050197	Atherosclerosis	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	165994	D003920	Diabetes Mellitus	OTG	NA	Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021	NA	NA	0.0356448476992871	0.35	2	Preclinical	0.35	2	0	both	unsupported target
F2R-D054058	0.215	3	F2R-D054058	F2R	D054058	Acute Coronary Syndrome	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	165994	D003920	Diabetes Mellitus	OTG	NA	Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021	NA	NA	0.0356448476992871	0.35	2	Phase II	0.35	2	2	gwas	unsupported target
F2RL1-D001168	0.307	1	F2RL1-D001168	F2RL1	D001168	Arthritis	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	166071	D008107	Liver Diseases	OTG	NA	Gamma glutamyl transferase levels	https://genetics.opentargets.org/study/GCST90025966	2021	NA	NA	0.538822915307321	0.83	1	Preclinical	0.83	1	0	both	unsupported target
F2RL1-D001172	0.44	1	F2RL1-D001172	F2RL1	D001172	Arthritis, Rheumatoid	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	166072	D008232	Lymphoproliferative Disorders	OTG	NA	Monocyte count [Japanese]	https://genetics.opentargets.org/study/GCST002555_3	2014	NA	NA	0.194365099974033	0.45	1	Preclinical	0.45	1	0	gwas	unsupported target
F2RL1-D001249	0.437	1	F2RL1-D001249	F2RL1	D001249	Asthma	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	166072	D008232	Lymphoproliferative Disorders	OTG	NA	Monocyte count [Japanese]	https://genetics.opentargets.org/study/GCST002555_3	2014	NA	NA	0.194365099974033	0.45	1	Preclinical	0.45	1	0	both	unsupported target
F2RL1-D001932	0.232	1	F2RL1-D001932	F2RL1	D001932	Brain Neoplasms	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	166071	D008107	Liver Diseases	OTG	NA	Gamma glutamyl transferase levels	https://genetics.opentargets.org/study/GCST90025966	2021	NA	NA	0.538822915307321	0.83	1	Preclinical	0.83	1	0	both	unsupported target
F2RL1-D002318	0.302	1	F2RL1-D002318	F2RL1	D002318	Cardiovascular Diseases	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	166071	D008107	Liver Diseases	OTG	NA	Gamma glutamyl transferase levels	https://genetics.opentargets.org/study/GCST90025966	2021	NA	NA	0.538822915307321	0.83	1	Preclinical	0.83	1	0	gwas	unsupported target
F2RL1-D003093	0.489	1	F2RL1-D003093	F2RL1	D003093	Colitis, Ulcerative	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	166071	D008107	Liver Diseases	OTG	NA	Gamma glutamyl transferase levels	https://genetics.opentargets.org/study/GCST90025966	2021	NA	NA	0.538822915307321	0.83	1	Preclinical	0.83	1	0	both	unsupported target
F2RL1-D003876	0.397	1	F2RL1-D003876	F2RL1	D003876	Dermatitis, Atopic	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	166072	D008232	Lymphoproliferative Disorders	OTG	NA	Monocyte count [Japanese]	https://genetics.opentargets.org/study/GCST002555_3	2014	NA	NA	0.194365099974033	0.45	1	Preclinical	0.45	1	0	gwas	unsupported target
F2RL1-D005909	0.22	1	F2RL1-D005909	F2RL1	D005909	Glioblastoma	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	166071	D008107	Liver Diseases	OTG	NA	Gamma glutamyl transferase levels	https://genetics.opentargets.org/study/GCST90025966	2021	NA	NA	0.538822915307321	0.83	1	Preclinical	0.83	1	0	gwas	unsupported target
F2RL1-D007249	0.248	1	F2RL1-D007249	F2RL1	D007249	Inflammation	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	166071	D008107	Liver Diseases	OTG	NA	Gamma glutamyl transferase levels	https://genetics.opentargets.org/study/GCST90025966	2021	NA	NA	0.538822915307321	0.83	1	Preclinical	0.83	1	NA	gwas	unsupported target
F2RL1-D008527	0.214	1	F2RL1-D008527	F2RL1	D008527	Medulloblastoma	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	166071	D008107	Liver Diseases	OTG	NA	Gamma glutamyl transferase levels	https://genetics.opentargets.org/study/GCST90025966	2021	NA	NA	0.538822915307321	0.83	1	Preclinical	0.83	1	0	gwas	unsupported target
F2RL1-D008659	0.544	1	F2RL1-D008659	F2RL1	D008659	Metabolic Diseases	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	166068	D002128	Calcium Metabolism Disorders	OTG	NA	Calcium levels	https://genetics.opentargets.org/study/GCST012398	2021	NA	NA	0.541249837599065	0.8	1	Preclinical	0.8	1	0	both	unsupported target
F2RL1-D009103	0.443	1	F2RL1-D009103	F2RL1	D009103	Multiple Sclerosis	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	166072	D008232	Lymphoproliferative Disorders	OTG	NA	Monocyte count [Japanese]	https://genetics.opentargets.org/study/GCST002555_3	2014	NA	NA	0.194365099974033	0.45	1	Preclinical	0.45	1	0	both	unsupported target
F2RL1-D009369	0.297	1	F2RL1-D009369	F2RL1	D009369	Neoplasms	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	TRUE	NA	166071	D008107	Liver Diseases	OTG	NA	Gamma glutamyl transferase levels	https://genetics.opentargets.org/study/GCST90025966	2021	NA	NA	0.538822915307321	0.83	1	Preclinical	0.83	1	NA	gwas	unsupported target
F2RL1-D010051	0.225	1	F2RL1-D010051	F2RL1	D010051	Ovarian Neoplasms	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	TRUE	NA	166071	D008107	Liver Diseases	OTG	NA	Gamma glutamyl transferase levels	https://genetics.opentargets.org/study/GCST90025966	2021	NA	NA	0.538822915307321	0.83	1	Preclinical	0.83	1	NA	gwas	unsupported target
F2RL1-D010190	0.499	1	F2RL1-D010190	F2RL1	D010190	Pancreatic Neoplasms	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	TRUE	NA	166071	D008107	Liver Diseases	OTG	NA	Gamma glutamyl transferase levels	https://genetics.opentargets.org/study/GCST90025966	2021	NA	NA	0.538822915307321	0.83	1	Preclinical	0.83	1	NA	gwas	unsupported target
F2RL1-D015179	0.524	1	F2RL1-D015179	F2RL1	D015179	Colorectal Neoplasms	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	TRUE	NA	166071	D008107	Liver Diseases	OTG	NA	Gamma glutamyl transferase levels	https://genetics.opentargets.org/study/GCST90025966	2021	NA	NA	0.538822915307321	0.83	1	Preclinical	0.83	1	NA	both	unsupported target
F2RL1-D015212	0.514	1	F2RL1-D015212	F2RL1	D015212	Inflammatory Bowel Diseases	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	166071	D008107	Liver Diseases	OTG	NA	Gamma glutamyl transferase levels	https://genetics.opentargets.org/study/GCST90025966	2021	NA	NA	0.538822915307321	0.83	1	Preclinical	0.83	1	0	both	unsupported target
